Timestamp,Score1,Score2,Inclination,spam
7/15/2014 22:22:30,95,90,Yes,14
7/15/2014 22:30:08,91,85,Yes,14
7/15/2014 22:59:12,95,81,Yes,14
7/15/2014 23:07:48,90,85,No,14
7/15/2014 23:27:13,10,9,No,14
7/15/2014 23:41:23,6,6,No,14
7/16/2014 0:17:41,92,85,Yes,14
7/16/2014 1:28:29,9,7,Yes,14
7/16/2014 1:41:50,8,7,No,14
7/16/2014 1:48:41,10,10,Yes,14
7/16/2014 1:49:06,10,10,Yes,14
7/16/2014 1:50:42,8,1,Yes,14
7/16/2014 2:18:20,6,6,No,14
7/16/2014 2:38:31,98,70,Yes,14
7/16/2014 3:29:29,80,90,Yes,14
7/16/2014 8:37:19,90,85,Yes,14
7/16/2014 8:53:53,90,60,Yes,14
7/16/2014 8:54:22,84,80,Yes,14
7/16/2014 9:00:01,99,85,Yes,14
7/16/2014 9:34:03,96,65,Yes,14
7/16/2014 9:45:42,57,65,Yes,14
7/16/2014 11:21:40,90,,No,14
7/16/2014 11:27:44,90,90,No,14
7/16/2014 11:28:12,90,90,Yes,14
7/16/2014 11:40:03,60,65,Yes,14
7/16/2014 12:30:01,80,80,No,14
7/16/2014 12:30:47,90,80,No,14
7/16/2014 12:49:56,75,75,No,14
7/16/2014 12:50:27,65,70,No,14
7/16/2014 13:20:50,70,70,No,14
7/16/2014 13:21:23,80,75,No,14
7/16/2014 13:57:25,90,75,No,14
7/16/2014 14:11:38,80,65,No,14
7/16/2014 14:31:57,97,97,No,14
7/16/2014 14:32:39,100,100,No,14
7/16/2014 15:10:50,90,90,Yes,14
7/16/2014 17:08:01,93,70,No,14
7/16/2014 17:10:56,94,80,Yes,14
7/16/2014 18:29:01,80,80,No,14
7/16/2014 22:00:45,85,80,Yes,14
7/16/2014 22:15:05,90,90,Yes,14
7/17/2014 2:31:15,90,80,Yes,14
7/17/2014 14:43:37,7.5,8,Yes,14
7/17/2014 16:52:49,60,40,No,14
