"","value"
"1",2.19317922910626
"2",1.71609259324148
"3",3.81093489480708
"4",4.11426693639463
"5",1.60226230440665
"6",2.01175977895154
"7",1.27847178604407
"8",1.64475255374913
"9",2.95086213758395
"10",1.85407214867517
"11",2.14326860184032
"12",4.66045423203397
"13",2.05994986237853
"14",1.9501311636187
"15",0.732795579462233
"16",2.49837906877859
"17",5.11662602747055
"18",4.36680410982686
"19",4.11531566673677
"20",3.29727141806442
"21",1.36278171527726
"22",1.78266911642877
"23",2.71507981961687
"24",1.74335696378273
"25",5.20409469155459
"26",4.90784683041065
"27",4.67418161477686
"28",2.48895483155522
"29",0.662321742384591
"30",2.68320648915591
"31",2.16083390108117
"32",3.07027908709114
"33",2.35514713593999
"34",5.14689734164959
"35",1.62776787047048
"36",6.2927540355874
"37",3.22836339210357
"38",1.86396253306111
"39",2.59433507049093
"40",1.99290091927148
"41",2.17595175013243
"42",1.45141768291047
"43",2.59295248352311
"44",2.38414588080582
"45",1.17063556894891
"46",2.53451665827086
"47",5.71511132318917
"48",2.22671339145157
"49",1.46029506961948
"50",2.37908849432166
"51",2.03724059974699
"52",4.41010572857979
"53",2.21217020962813
"54",5.64624050662763
"55",3.90402972872901
"56",1.32271536055555
"57",5.29994537165979
"58",2.01583446813922
"59",1.03992668963147
"60",2.22865395232484
"61",2.08334009744661
"62",2.5300262832806
"63",6.60829027151505
"64",1.13014002866844
"65",4.21550298808775
"66",2.64616012063127
"67",2.19159262878431
"68",2.82856084739445
"69",1.58928967865324
"70",3.07993455034341
"71",2.89783340607783
"72",1.35198525090358
"73",1.62896241695947
"74",2.94930149657914
"75",2.81126335548134
"76",4.51962359521987
"77",2.77143625800297
"78",1.6308969665314
"79",4.35741426253328
"80",3.94548368370303
"81",3.39752312845307
"82",4.11491398091569
"83",5.41425399656071
"84",2.97754161992645
"85",4.88546342713653
"86",3.46680371462483
"87",3.35887058322842
"88",2.14251267487161
"89",2.65357553487067
"90",3.80816609122784
"91",8.15119098389506
"92",2.36523192734751
"93",2.23389899527777
"94",3.90234882051023
"95",2.5018350632774
"96",2.26388249612836
"97",5.20515673865634
"98",4.08241893567753
"99",3.66608749135886
"100",1.05738574333759
"101",1.78519871100269
"102",2.09832228242745
"103",3.47268503896749
"104",2.8747144742769
"105",4.15048723727528
"106",2.65885562961779
"107",1.39706235781763
"108",1.37892046660138
"109",4.92314954414587
"110",5.42156659153394
"111",9.0145730674238
"112",6.12413924803165
"113",2.46218435365981
"114",3.33476597573532
"115",2.22958259913533
"116",2.12615740604952
"117",1.89842440313163
"118",2.27847241561946
"119",5.87425974178335
"120",4.14761836631733
"121",3.26783904373997
"122",2.36070399333624
"123",2.52405455001516
"124",0.988153394886097
"125",1.1636378880737
"126",0.89474816013992
"127",1.56739474093471
"128",3.32902197835158
"129",2.12834585123645
"130",4.9816820835977
"131",10.2231557941441
"132",2.31433206910866
"133",3.08260956148956
"134",2.17725230788957
"135",1.32505961741862
"136",5.13674490174133
"137",1.27244829649519
"138",2.48132360876898
"139",8.28484298293321
"140",1.88325838415355
"141",1.48497658872718
"142",5.67230549100064
"143",3.77137415043169
"144",2.62634300447307
"145",3.62465235052731
"146",2.42045267722522
"147",1.98483297162731
"148",5.30443912046044
"149",1.54468586808945
"150",2.76856915956609
"151",1.79684516171442
"152",1.22298401337619
"153",10.6772996920458
"154",0.980022860640583
"155",0.356344532672444
"156",2.35041417446387
"157",1.9177724631886
"158",4.45418266585974
"159",2.05044742868436
"160",5.38389862639339
"161",3.86968632923231
"162",1.26141331400759
"163",5.57552347073785
"164",1.34803178638117
"165",1.30916621286333
"166",3.90033633988034
"167",1.70029100895449
